gene_name	qssm	qupm	reference_label	rel_fc_126	rel_fc_127L	rel_fc_127H	rel_fc_128L	rel_fc_128H	rel_fc_129L	rel_fc_129H	rel_fc_130L	rel_fc_130H	rel_fc_131L
FAM46A|FAM46C|FAM46B	1	1	131L	1.6807	1.61682	1.13004	1.19296	1.20032	1.55635	0.891604	1.17176	1.15487	1
C11orf73	4	3	131L	1.70219	1.87343	1.45896	1.15695	1.17884	1.13179	0.801806	1.56651	0.965688	1
CCNK	2	2	131L	1.61416	1.45276	1.11977	1.28771	1.16052	1.11739	0.798715	1.34822	1.00135	1
UCHL3	2	2	131L	1.44698	1.58225	1.04422	1.19325	1.0555	1.01887	0.763576	1.32436	0.943768	1
HTRA2	20	8	131L	1.71109	1.53965	1.37256	1.23513	1.21988	1.2529	0.863333	1.33089	1.08434	1
ANXA2	56	18	131L	1.82344	1.95796	1.39728	1.24341	1.35739	1.26965	0.86945	1.43757	1.09369	1
VWA5A	4	4	131L	1.3915	1.39888	1.06633	0.985426	1.17585	1.0537	0.782949	1.32095	1.01874	1
PDRG1	1	1	131L	1.59272	1.68428	1.18753	1.09511	1.17431	1.5335	0.742821	1.21712	1.06285	1
RB1	34	18	131L	1.61443	1.79936	1.20127	1.42468	1.3209	1.2186	0.910731	1.16993	1.1185	1
CMPK1	27	11	131L	1.17337	1.144	0.991424	0.90054	0.951545	1.06622	0.72521	1.10297	0.922304	1
ECHS1	6	4	131L	1.9062	1.97428	1.6728	1.18091	1.27657	1.08079	0.82076	2.20025	1.03467	1
PEBP1	49	12	131L	1.43704	1.69291	1.13802	1.23794	1.2145	1.36282	0.847192	1.30205	1.0724	1
KIAA0907	1	1	131L	1.58384	1.64096	1.34629	1.33454	1.49494	1.52415	1.24051	1.33606	1.24617	1
C11orf84	1	1	131L	1.13874	1.03893	0.811491	0.887276	0.973151	1.36535	0.733964	1.13273	0.97049	1
CD63	1	1	131L	0.923623	1.19521	1.35226	1.42999	0.902355	0.912674	0.88829	1.2899	1.20817	1
DNAJA1	6	5	131L	1.22869	1.18713	1.13278	1.01802	1.05946	1.13534	0.870666	1.32052	1.08157	1
RRM2	43	14	131L	1.4972	1.5958	1.29711	1.26758	1.28215	1.45645	0.90565	1.39288	1.09676	1
TUBB2B	1	1	131L	1.61668	1.67806	1.08565	1.38765	1.33417	1.55834	0.859531	1.33936	1.01897	1
KATNB1	1	1	131L	0.968466	1.42675	1.07572	0.971006	0.949254	1.29596	0.937281	1.09001	1.50582	1
TUBB	38	4	131L	1.2261	1.3335	1.03307	1.03244	1.12811	1.2735	0.770078	1.20307	0.987235	1
KMT2D	2	2	131L	1.55154	1.52606	1.15952	1.22939	1.3204	1.26155	0.963373	1.21686	1.19523	1
MTHFS	2	2	131L	1.9141	2.1202	1.60587	1.34571	1.33451	1.23825	0.758064	1.67273	1.01457	1
VTI1B	1	1	131L	1.53859	1.52723	1.3749	1.30711	1.2831	1.40419	1.05119	1.41453	1.06205	1
RPL15	3	2	131L	0.192099	0.252588	0.691862	1.02317	0.197261	0.300497	0.858349	1.03027	1.21206	1
MYCBP	4	3	131L	1.26451	1.21441	1.07415	0.939784	1.2572	1.18105	0.866134	1.08743	1.24984	1
HLCS	1	1	131L	0.730882	0.908566	0.950056	0.733707	0.790135	0.966483	0.922384	1.16773	0.829911	1
NMD3	6	4	131L	1.13012	1.14127	1.26104	1.17983	1.22394	1.26175	1.02837	1.35923	1.23611	1
RPS27L	2	2	131L	0.732963	0.926139	1.18422	1.20908	0.79684	0.822059	0.854784	1.23094	1.07435	1
COX5A	3	3	131L	1.0351	0.992672	1.06566	0.792713	0.823005	1.11905	0.694691	0.945475	0.759544	1
RHEB	10	5	131L	1.66266	1.66178	1.4111	1.18378	1.26678	1.29104	0.924772	1.42962	1.13309	1
SPHK1	0	0	131L	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SCRIB	1	1	131L	0.998016	1.30072	1.03883	0.988824	0.97987	1.32694	0.747557	1.12857	0.89305	1
KCTD15	5	5	131L	1.40767	1.47457	1.26348	1.1756	1.23106	1.37126	0.87164	1.36135	1.16563	1
DHPS	15	8	131L	1.67002	1.63656	1.28957	1.31342	1.30196	1.53379	0.870034	1.41223	1.08639	1
